,Preferred_Qualifications
95,"• 컴퓨터 공학 학사 또는 이상의 학위
• 딥러닝 관련 연구실 출신 우대
• IT 직종 경력자 우대"
96,"• 석사 이상 (컴퓨터공학, 수학, 물리, 통계 등 관련 공학계열)
• NLP 관련 모델 개발 경험
• Generative AI 에 대한 연구 경험
• 영어 회화 중급 수준 가능자"
97,"ㆍLLM 및 RAG를 활용한 챗봇 서비스 경험이 있으신 분
ㆍ도메인 특화 LLM 관련 연구 및 개발 경험 있으신 분
ㆍLinux 활용도 및 docker 관련 활용 성숙도 있으신 분

[기타사항]
ㆍ근무지: 서울시 중구 필동로1길 18, 2층
ㆍ2024년 하반기 양재로 이전 예정"
98,"ㆍPython 및 관련 데이터 처리 라이브러리 숙련자
ㆍ자연어 처리 라이브러리(Transformers, spaCy, Hugging Face 등) 경험자 우대
ㆍ대규모 데이터 처리 경험자 우대"
99,"ㆍPyTorch, LangChain, TensorFlow, Hugging Face Transformers 등 활용 능숙자
ㆍ최신 LLM 트렌드(GPT, BLOOM, LLaMA 등)에 대한 이해
ㆍ분산 훈련 및 클라우드 기반 모델 운영 경험
ㆍAPI 설계 및 외부 서비스 연동 경험 우대
ㆍ자연어 생성 모델의 윤리적 이슈 및 안전성 검토 경험자 우대"
100,"• Point Cloud 데이터를 사용하는 인공지능 모델 개발 및 알고리즘 개발 경험자
• 3D Depth 센서 사용 경험 및 이를 활용한 개발 경험자
• 멀티 카메라 또는 멀티 센서 캘리브레이션 개발 경험자
• 비전 검사를 위한 알고리즘 개발 및 장비 운영 경험자"
101,"• 관련 분야 석/박사 학위 소지자
• 딥러닝 또는 머신러닝을 활용한 분석 과제 또는 공모전 수상 경험
• sLLM 기반 서비스 개발 및 RAG 관련 프로젝트 경험"
102,"ㆍWhisper 파인튜닝을 해 보신 분
ㆍLLM, TextAnalysis를 경험해 보신 분
ㆍ백엔드 개발 경력이 있으신 분
ㆍRDBMS, NoSQL에 대한 이해도가 있으신 분
ㆍ리눅스 서버에 대한 이해가 높으신 분
ㆍAI 석사 학위 소유하신 분"
103,"• 해외 Post Doc 경험자
• ML/DL 분석 숙련
• 임상 데이터 분석 경험"
104,"• AI Vision model 전공자 및 경력자
• 미생물 및 생명공학에 관한 경험
• 클라우드 컴퓨팅 및 MLOps에 관한 경험"
105,"• 영어 가능자
• 외부 세미나 발표 가능자
• 커뮤니케이션이 원활한 자
• 관련 분야 유경험자 및 연구 논문 스터디에 어려움이 없는자"
106,"• SW공학, 수학, 통계학, 전자공학, 컴퓨터공학, 시스템공학, 기계공학 등 그에 준하는 업무 능력 보유
• 영상처리 / 딥러닝 관련 전공자
• 탑티어 저널(CVPR, ICCV, ECCV, NeurlPS, ICML, ICLR, etc.) 논문 등재 및 특허 출원/등록 경험
• 최신 기술 동향 파악 및 SOTA 알고리즘 적용 경험
• Computer Vision 이론적 배경 지식 보유(전처리, 특징 추출, 머신비전 등)
• Tensorflow / PyTorch / TensorRT / Onnx / OpenVINO / OpencvDNN 등 딥러닝 프레임워크 사용 경험
• Docker / Conda / RTSP / FFmpeg / Cross compile / GUI 개발 경험
• AI Embedded System 경험
• Face Recognition, RCNN, SSD, Yolo 등 모델 학습 및 문제 해결 경험
• 주어진 문제를 해결하기 위해 다양한 기술적 방법을 연구하는 적극적인 자세를 가지신 분
• 영어 가능자"
107,"• 박사 이상 
• 의료초음파 전공(타 전공이어도 관심 있는 자 우대) 
• 초음파 의료기 개발, 신호처리 분야 경력"
108,"• 시스템 유지보수 경험자 우대
• ERP(더존 IU) 운영 경험자 우대"
