,Main_task
72,"[SW 솔루션 개발팀]
SW 솔루션 개발팀은 차량용 반도체에 탑재되어 고객의 사용 시나리오에 맞게 반도체를 제어하며 최고의 성능을 낼 수 있도록 최적화된 고품질의 임베디드시스템 SW 개발을 미션으로 합니다. 
차량용 반도체의 Computing/Safety 수준에 맞추어 칩 내부의 HW IP 디바이스 Enabling을 위한 firmware, bootloader에서부터 Linux나 RTOS와 같은 OS 플랫폼 기반의 kernel, device driver, system framework, 및 자율주행 DL 솔루션과 같은 분야의 SW를 제공합니다. 각 해당 분야의 전문가들이 팀을 이루어 업계 최고의 차량용 반도체 SW 개발을 위해 함께 연구/개발하고 있습니다.

 [주요 업무]
ㆍNN 가속기 SDK를 활용한 Tensorflow, pytorch 등으로 개발된 딥러닝 모델 포팅
ㆍNN 가속기 성능 측정 및 튜닝을 위한 머신러닝/딥러닝 시스템 구성 및 최적화
ㆍAI NN 가속기 AI 모델 기반 성능 검증 및 모델 튜닝
ㆍ차량용 자율주행 NN 알고리즘 개발
ㆍTensorflow, Pytorch 등 다양한 AI Framework 기반의 오픈 Model Training
ㆍAI 모델 Compiler 개발 (TVM, MLIR, 기타 Frontend) 및 optimization
ㆍNN 가속기 Compute/Data Movement kernel 및 Operation 개발
ㆍNN 모델 quantization solution 개발"
73,"• LLM Post-training을 위한 데이터 수집 및 정제
• LLM Post-training 방법론 연구 및 개발
• LLM 제품화를 위한 개발"
74,"• 에너자이의 추론 엔진 Optimium은 크게 ""Graph Level"", ""Kernel level"", ""Runtime level"" 로 구분됩니다.
• 해당 직군은 ""Graph Level""에서의 연구 개발을 맡아 수행하실 분을 찾고 있습니다. ""Graph Level""에서의 연구 개발은 아래 내용을 포함합니다.

• AI 추론 엔진 딥러닝 모델 최적화 알고리즘 개발
- 사내 자체 개발한 언어를 활용해 convolution, GEMM 등의 연산을 메모리 캐싱, vectorization 등을 고려해서 최적화되도록 구현
- Quantization operation을 포함한 Operation fusion 알고리즘 알고리즘 개발
- Reinforcement Learning, Dynamic programming 등을 활용하여 Optimium에서의 각종 최적화 문제를 풀고 연구 개발
- Multi-device allocation 문제
- Automatic mixed precision 알고리즘 개발
- Time complexity와 Performance를 고려한 Auto Tuning 알고리즘 개발
- LLM 최적화
- SLM 추론 최적화 연구
- AI 추론 엔진 소프트웨어 개발
- Kubernetes를 이용한 Multi-device 자원 관리
- Auto-Tuning 가속화를 위한 Database 구축"
75,"Proprietary AI compiler(Optima)의 runtime 개발
• device communication interface 및 프로토콜 디자인/구현
 - ssh, adb, tcp/ip, packet 통신, RPC 통신 등
• parallel programming
 - multithread programming
 - GPU
• 다양한 디바이스 지원을 위한 binding 제작
 - vulkan, spir-V, XNNPack 등
• 사용자 api 제작
• 모델 실행 시 최적화 알고리즘 제작
 - memory planning, execution scheduling 등
• 라이브러리 압축 / 보안을 위한 암호화"
76,"• 시계열 데이터를 이용한 예측 및 이상 감지
 - 질병 예측/진단, 구조물 이상 감지, 장비 예지 보전 등"
77,"• 비구조 데이터 문서 처리 솔루션 내 신규 모델 개발
• OCR 및 CV, NLP 등 기 개발 모델 유지 보수 및 고도화
• Document AI 관련 신규 기술 research"
78,"• LLM post training을 위한 데이터 수집 및 정제
• LLM Post train 방법론 연구 및 개발
• LLM serving 환경 구축 및 실험
• Generative AI 신규 기술 Research"
79,"• 영상처리, 동영상 압축 등 멀티미디어 처리 기술개발"
80,"• DocumentAI Vision 모델 연구 및 개발
• 고객의 문제를 이해하고, 그를 가장 효과적으로 해결하기 위한 가설 제시 및 검증을 수행
• 제품의 요구 사항을 이해하고 이를 개발 목표 및 연구 과제로 변환
• 모델 성능에 대한 객관적인 메트릭 정의 및 측정"
81,"Embedded AI SW 기술 개발: 
• Embedded AI application 개발 및 최적화
• Algorithm 최적화 및 SIMD 최적화
• Embedded(SoC) 및 RTOS 환경에서 모델 배포 프로세스 개발"
82,"Vision AI application을 위한 Deep Learning 모델 개발 및 최적화: 
• Object Detection, Segmentation, Human Pose Estimation 기술 개발
• 학습 DB 설계 및 학습 최적화"
83,"사용 기술
• Pytorch, Keras, Tensorflow, DeepLearning, MachineLearning

주요 업무
• 의료 영상 분석 (ex. Classification, Segmentation)을 위한 AI 알고리즘 개발 및 검증의료 영상 개선 (ex. Super-Resolution, Denoising)을 위한 AI 알고리즘 개발 및 검증
• 의료 영상 개선 (Super-Resolution, Denoising)을 위한 AI 알고리즘 개발 및 검증
• 기술/임상 컨퍼런스 및 저널 논문 투고 및 발표를 위한 연구 수행"
84,"Embedded AI SW 기술 개발: 
• Embedded AI application 개발 및 최적화
• Algorithm 최적화 및 SIMD 최적화
• Embedded(SoC) 및 RTOS 환경에서 모델 배포 프로세스 개발"
85,"• 영상처리, 동영상 압축 알고리즘 및 성능 분석"
86,"• 내비게이션 서비스 측위 기술 연구/개발
• 센서 기반 측위 기술 연구/개발
• GPS 및 AIoT기반 측위 기술 연구/개발
• 라이다, 카메라, BLE 등의 인식 센서 기반 측위 기술 연구/개발
• 융합형 필터 / 머신러닝 측위 기술 연구/개발"
87,"Model Compression 기술 개발: 
• Neural Architecture Search (NAS) 
• Quantization Aware Training (QAT) & Post Training Quantization (PTQ) 
• Knowledge Distillation (KD)"
88,"Vision AI application을 위한 Deep Learning 모델 개발 및 최적화: 
• Object Detection, Segmentation, Human Pose Estimation 기술 개발
• 학습 DB 설계 및 학습 최적화"
89,"LLM 개발 및 최적화: 
• Domain-specific LLM 및 sLLM 개발 
• LLM 경량화(예: Pruning, Quantization, Distillation) 개발
• LLM 추론 엔진(예: llama.cpp, TensorRT-LLM, MLC-LLM) 개발"
90,"Model Compression 기술 개발: 
• Neural Architecture Search (NAS) 
• Quantization Aware Training (QAT) & Post Training Quantization (PTQ) 
• Knowledge Distillation (KD)"
91,"LLM 개발 및 최적화: 
• Domain-specific LLM 및 sLLM 개발 
• LLM 경량화(예: Pruning, Quantization, Distillation) 개발
• LLM 추론 엔진(예: llama.cpp, TensorRT-LLM, MLC-LLM) 개발"
92,"• Edge device targeted AI compiler 개발
• Virtual Machine 개발
• 사내 자체 언어 개발
　- Parser, Lexer 개발
　- Type inference algorithm 구현
• Intel AMX 지원을 위한 intrinsic 구현
• 이 외 성능 최적화를 위한 각종 compiler technique 구현 및 연구
• MLIR 사용
• Optimizing ML/vision algorithm on DSP/NPU/AP
　- Preprocessing procedure, deep learning kernel 및 각종 Vision 알고리즘을 DSP/NPU/AP 등에 최적화하여 지연 시간 및 사용 메모리를 최소화"
93,"• 생성 모델을 통해 물류/공장 자동화에서 필요한 학습 데이터 생성 및 모델 평가 수행
• 당사 AI Platform 생성 모델 백엔드 연구 개발

1. 물류 및 공장자동화 각 사이트에서 필요한 학습 데이터 생성 기법 연구 개발
2. 배포된 AI 모델 성능 유지를 위한 평가 및 추가 학습 등을 위한 데이터 생성 기법 연구 개발 
3. 모델 학습 배포 유지관리 lifecycle 연구개발( AIops , Active learning, lifelong learning, etc ) 협업 
4. 그 외, Stable Diffusion과 같은 생성형 모델을 목적에 맞게 연구 개발 및 서비스"
94,"• Computer Vision 알고리즘 개발
　- 다양한 형태의 데이터 처리 (Radar, Smartphone Image, CCTV Image, Industrial Image 등)
　- Vision 관련 task 수행 (super resolution, detection, inpainting, low lighting 등)
• 딥러닝 모델 경량화 알고리즘 개발
　- 주어진 Task 와 Constraint를 고려한 딥러닝 모델 설계 및 경량화 알고리즘 개발 (Quantization, NAS 등)
　- Edge Device 탑재될 경량화된 모델 개발"
95,"• 최신의 딥러닝 학습 모델 연구
• sLLM 학습 및 최적화
• sLLM 학습 데이터 수집 및 전처리"
96,"• 비정형 데이터 처리를 위한 pipeline 구축
• 데이터 수집 및 관리
• NLP 관련 modeling 업무 (NMT, NER 등)
• 연구 과제 수행
• 최신 논문에 대한 research"
97,"ㆍLLM 모델을 활용한 AI 서비스 개발 (Prompt Engineering /RAG)
ㆍLLM 모델 활용을 통한 챗봇 서비스 개발
ㆍ데이터 추출 업무
 - 각종 다양한 문서, 데이터베이스 등을 통한 데이터 추출
 - 이미지 내 데이터 추출 경험(OCR)
ㆍ자연어 처리(NLP) 및 정보 검색, 텍스트 생성 업무
 - word embedding, text clustering 등 NLP 기술을 이용한 텍스트 데이터 전처리
 - text chunking, semantic maching 등을 활용한 문서 탐색 시스템 구조화
 - vector DB를 활용한 문서 검색 시스템 최적화
 - retriever, reader 등 유사 문서 검색 알고리즘 최적화
 - Language Model의 검토, 테스트, 활용 (Embedding Model, Reranking Model 등)
ㆍ LLM 관련 업무
 - sLLM fine-tunning 및 연구
 - sLLM fine-tunning 및 연구
 - 신규 기술 동향 분석 및 검증"
98,"ㆍRAG(Retrieval-Augmented Generation) 기반 AI 시스템 구축 및 운영
ㆍ데이터 전처리 파이프라인 설계 및 구현
ㆍ대규모 데이터셋 클리닝, 필터링, 라벨링 등 데이터 품질 관리
ㆍ텍스트 데이터의 벡터 임베딩 및 임베딩 모델 설계, 훈련 및 튜닝
ㆍ문서 혹은 텍스트 데이터의 의미론적 분석 및 구조화 개발
ㆍ임베딩을 활용한 효율적인 지식화(Indexing), 검색(Retrieve) 및 쿼리 확장 기술 개발
ㆍQdrant, FAISS, Pinecone 등 검색 기술 통합 및 최적화"
99,"ㆍ생성형 AI 챗봇의 핵심 모델(sLLM) 설계 및 최적화
ㆍ대규모 언어 모델(LLM)의 파인튜닝 및 커스터마이징
ㆍ프롬프트 엔지니어링(Prompt Engineering) 및 모델 성능 개선
ㆍ사용자 맥락(Context)를 반영한 대화 모델 설계 및 테스트
ㆍ멀티모달 데이터(텍스트, 이미지 등) 처리 기술 통합
ㆍ지속적인 모델 모니터링 및 성능 평가, 업그레이드"
100,"• 물류 자동화 또는 생산 자동화를 위한 2D/3D 객체 인지
• 2D/3D 데이터를 이용한 비전 검사
 
 1. 객체 검출을 위한 2D/3D Detection
 2. 비전 검사를 위한 학습 기반의 불량 검출 기법 또는 Anomaly Detection"
101,"• 기업의 비즈니스 최적화 문제 해결을 위한 AI/ML 모델 개발 수행
• 데이터 분석 및 최적화 프로젝트를 통한 기업의 비즈니스 문제 해결 및 AI 컨설팅
• sLLM을 활용한 AI 서비스 구축"
102,"ㆍSTT/TTS 딥러닝 모델 연구 및 개발
ㆍSTT/TTS 분산 처리 시스템 개발"
103,"• Multi-omic 데이터 분석 및 해석
• 미생물 기반 빅데이터 플랫폼 개발
• ML/DL을 이용한 질환 관련 바이오마커 발굴 및 검증"
104,"• 패혈증 진단을 위해 생산된 이미지 데이터를 분석하여 환자에게 적합한 진단결과를 제공하기 위한 AI 모델 개발
• 통계 (statistics) 및 시각화 (visualization) 기법을 이용하여 대량의 이미지로부터 실행가능한 인사이트 (actionable insight) 도출"
105,"• rPPG(remote photoplethysmography) 기반의 생체정보(심박, 호흡, 산소포화도, 혈압 등)의 추출 알고리즘 개발
• 알고리즘 내재화를 통한 정확도 향상을 위한 개선 연구 
• Python, C++ 딥러닝 개발 능력 필수
• Computer Vision(opencv), signal processing, GUI 기술 활용
• 특허 및 논문 출판"
106,"* 컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식)

• 딥러닝/머신러닝 모델 개발
- Classification(분류) / Object Detection(객체 검출)
- 데이터 셋 설계 및 구축 / 데이터 셋 통합 / Semi-Supervised Learning
- Image Augmentation / Auto-Labeling
- 딥러닝 모델 개발 및 경량화
• ADAS / DMS 개발
- ADAS : LDW / FCW / RCW / HMW / FVSA / MOD / FVSA / TSR / BSD / LPR 등
- DMS(Driver Monitoring Systems) : 운전자 신원인식 / 표정 / 시선 / 행위인식 등
• CCTV Surveillance
- 지능형 CCTV 솔루션 : 침입 / 배회 / 유기 / 폭행 / 화재 / 쓰러짐 / 신원인식
- 보행자 / 차량(차종/색상) / 번호판 인식/ 얼굴인식 / 인상착의(인종, 성별, 연령, 상하의, 신장)
• Embedded System
- 딥러닝 모델 변환 및 경량화(Quantization / Pruning)
- PC 기반에서 개발된 영상 인식 알고리즘 및 딥러닝 모델을 Embedded(CPU, NPU) 환경에 포팅 및 최적화
- Embedded System 환경에서 이미지 처리 및 노이즈 제거 등의 영상 인식 Algorithm 개발 및 포팅"
107,"• 시스템 스펙 개발 Assist 
• 시스템 스펙 기반 의료 초음파 시스템 빔포밍 
• 신호처리 알고리즘 개발·개선을 통한 초음파 영상 질 향상 
• 고객 요구사항 제품 반영 
• 최신 및 혁신적 핵심 기술 개발 및 적용"
108,"• 기간계 시스템 개발 및 유지보수 
• ERP(더존 IU) 유지보수 운영"
